text,label
"This place is waaaay overpriced for the quality of food. I had two of the specials, grilled portobello mushroom and sea bass. The portobello was drenched in balsamic vinegar. Don't get me wrong, I love balsamic vinegar. I can just dip my bread in it plain but this was a very strong type and there was so much of it that I couldn't taste the mushrooms. As for the sea bass, I had asked for the olive oil drizzle to be removed and brought on the side since in most restaurants in the Burgh, drizzle means drench but it came with it anyways. When I complained, they took the fish and put it on a new plate with the olive oil scraped off. The sides that came with the entree were just sad. Some steamed veggies that tasted no different than steam in a bag grocery store variety and a bland rice with some peas. nThe bill for these two plus one glass of wine was 55. I had a groupon but it was still way way overpriced for the quality. The only reason I am giving them two stars instead of one is I should have asked for the price of the specials. I just assumed that the price of the sea bass would at least be comparable to the grilled salmon, which was 21. I was wrong since it was 35 despite being the size of my fist. nI will not be going back to this place and I do not recommend this to anyone who values quality over quantity.",1
I dont get how this place has so many great reviews. Customer service was terrible. I stopped in to discuss a cake for my housewarming. I arrived about 45 minutes before closing time but felt like i had completely inconvenienced the woman by stepping through the door. She seemed completely uninterested in listening to my ideas. I had the distinct feeling that she just wanted me to leave and quit bothering her. trying to salvation an unpleasant experience i bought a couple of cupcakes to take home. They certainly didnt make up for rest of it. Absolutely nothing special.,1
"Went with my daughter during my work lunch break. I had a restaurant coupon and since it was within walking distance from my workplace I decided to try them. n nIt is in the Roosevelt District, artsy, organic.so don't let the outside turn you off. When I went in, the establishment was clean including the bathroom which was operational . Christine was our server and she was very personable and informative. Since this was our first time at the restaurant she did recommend the Carnitas Torta. I am not a vegan or vegetarian but don't need meat everyday. This torta was made with Jackfruit n which she had to explain to me because I had never heard of it and cabbage. with the Chipotle and spices, it was WONDERFUL. It had a meaty taste and texture and all the flavors just came together. Even though it came with two halves, I could only finish one. My daughter finished both halves of her order, but neither of us felt stuffed after wards. My beverage was the fresh squeezed lemonade, sweetened with sparkling water. You can also have it unsweetened or with still water. It was just enough sweetness. My daughter had a Horchata. She said it was okay for a vegan version, but said she wouldn't order it again. n n I didn't order any desserts, but with the enjoyable experience we had, we will be returning.",2
"Groupon introduced this nice little place to us that was more than a wee bit away from the strip. n nIt truly was a miniature golf course as the name implies. It's not the mini golf courses you'd find as places like Scandia with the windmills and trick holes. It's as if they found a real golf course with the greens, rough, and sand traps and shrunk it. n nFun all the way around!",2
"If I could give this place the shadow of 1 star I would! I picked up my doggy and didn't think anything until the poor thing couldn't stop licking all his paws. I began to check him out and he turned out having a huge gash, open wound underneath his left eye! It looked like raw skin, I had to treat him with antibiotics. The reason why my dog was licking his paws was also because they were all cut up. When I originally picked him up, he was wearing this adorable bandana but when I removed it, there were patches of hair on his neck that weren't groomed. I'm feeling like the worse pet owner for having brought my pup here. n nTerrible service, would never put the life of my pup on their hands again!",1
"The pizza is excellent. I had a thin crust pie with amazing sausage, sun dried tomatoes and cheese! This is a wonderful place to get great food and a cold beer. They had Left Hand Milk Stout and 90 Shilling on tap which is always a plus. Prices are very reasonable, and there are literally dozens of TVs to watch any game that is on. The staff was very attentive and friendly. Can't wait until it warms up a bit so I can sit out on their nice patio.",2
The place just isn't the same since Lee sold out. I've tried to stay but at some point the wide selection of glitter and polishes does not outweigh technicians who don't know what they are doing and who are rude. I need a new place ,1
"A group of 16 of us were out of town and decided to go over to stone mountain grill. The manager told us he could not sit all of us together as we had such a large party even though you can make reservations online for 20 people. He said it would be to much for the waiter or waitress and we would all have ro sit seperately. He suggested next time we call a week ahead of time. Are u kidding me! We walked out, as to us that was not true service and they did not deserve our money!",1
"I think I had th 14 with taco cheese enchilada an chilly relano. "" gringo spelling "" for 5.50 cant beat it with a stick. great deal an the food amazingly good .very nice 4 the price .",2
"A nice change in pace when you get tired of the OG and Carraba's, the appetizers are tasty recommend the pesto bruchetta or the baked ravioli, the sauce is loaded with italian sausage and at times I find myself just eating the sauce with a fork, I'm a big fan of their calzone's lots of cheese, ample toppings puff's up like a good calzone should, the wait staff has been agreeable the times we've been there though we more often than not take out. I've also had the pizza and some pasta dishes and have been pleased with most, as I recall the sauces for one of the sausage and vodka sauce pasta's is ""very spicy "" and i'm not one to shy away from spicy food, so just a warning. n na good choice for italian in surprise",2
"O.K the outdoor seating on a bright sunny day was great. Service was fine. Wife wanted the half portion of fruit salad. It looked tired.some of the green grapes were turning yellow and only grapes and pineapple?. If you want a fruit salad bellagio cafe does much better. I ordered a bloody mary, at 12 no celery or olives? Sky Box grill at Aria has a 10 B.M that will rock your socks off. Had the fish tacos 2 for 12 . While the fish was fine the salsa was weird. Ate 75 of one of them and gave the wife the other. At about 40 with tip I can't say I was happy.",1
"Had dinner tonight, service was excellent food was lousy. The lamb chops had to be sent back 90 fat was no meat on the traps at all. Or the reserve a bone in New York steak came very dry the waiters will kindly replace both with fillets which were tasty. However, I make it better on my home real with me I buy from Cosco. n nMild Italian should start shopping at Cosco. They sell prime beef. n nTo quote my late father, ""now I've been there twice. The first time, and the last time. """,1
Great food great service. Best filipino food in vegas. And the filipino employees make you feel at home,2
"Not my choice for breakfast. Only reason I've come here is Amy C. likes this place for breakfast and being the good friend that I am, I oblige. I've been here and waited an obscene amount of time, and I've been here and seated right away. The menu isn't impressive. I swear it takes me longer to decide on what to eat than it does for them to prepare it. I've tried the Eggs Benedict and don't think anything of them. I am not a fan of breakfast potatoes, I prefer hash browns. That's a big negative on this place. I was craving banana walnut pancakes one time and I asked if they could make them, so I receive my pancakes with bananas and walnuts on top off the pancakes. What the heck? Shouldn't they be mixed in with the pancake batter? I know I had a perplexed look on my face and the waitress wasn't interested in asking me what the problem was. I feel the food here is comparable to IHOP or Denny's, no quality. I also dislike that you have to go up to the counter to pay. Why can't I leave my check and the tip on the table and leave when I'm done! I can only hope I can talk Amy C. into Cracked Egg instead.",1
"One of the best Indian restaurants I have ever been too which says a lot because Indian food is my all time favorite. Went there for lunch on a Saturday and the place was packed. Great prices and large portion sizes with a pretty large menu. Try the tali lunch special which is a great bang for your buck. Options include their famous butter chicken, curry lamb, or a vegetarian option. Had plenty of leftovers and although the service was a little slow I could not be mad because there were only two waiters working and since it was so crowded they were running around the whole time. They were very polite and continuously apologized but like I said I couldn't be mad they were doing the best they could Cash debit card only FYI.",2
"I suppose it depends on what you get, maybe some meals are better here but my chicken sandwich was public school cafeteria level with a little bit more spice. I would have rather had McDonalds. The waitress also heavily exaggerated the portions. M wife got the appetizer sampler which was much smaller than advertised it was okay but again I've had better and we were told the Super Nacho plate was HUGE! It was decent I guess and probably the best of any of the dishes we had. n nWon't be returning anytime soon.",1
"Flamingo Palace is the closest thing to East Coast Chinese food I've found. The house chicken is super tasty and they have really yummy rice. nYes it's a little worn inside and that fish in the tank needs a bigger tank, but it's well worth a visit. Delivery was also very quick.",2
Poor service. n nMy bro in law was stabbed so he was admitted here. n nThe nurses wouldn't check on him. His catheter was full and they didn't change it until a few hours after we told them. n nHe was supposed to have his IV changed out and they didn't to it until the next day. n nThe nurses are pretty much bitches.,1
"I walked in to get information. The only worker there was a trainer that told me he was finishing up a private lesson and would be right with me. After 15 minutes of walking around looking at their displays and not finding any infomation on their services and the trainer not acknowledging I was still waiting.I left. I understand he was in a private lesson. However, he should have given me a timeframe or at least asked what I needed. If you only have one person working in the store, you have to come up with a better system or have information that someone can take with them.",1
"I had the stuffed pancakes, it was stuffed and big. The coffee was good and the service quick. I enjoyed my meal and had a great breakfast. The place was bug and can accommodate a lot of customers.",2
