text,label
"Good food. Unfortunately or fortunately for us , we sniffed out a scam. Check your bills. They overcharged us by 100. After we alerted the cashier to the mistake, we were offered a shoddy explanation that would leave even the most trusting soul saying ""hmmmmm "". I surmise there is a rotten apple amongst the staff. Overall, good food. Nice people. .But something smells funny.",1
"We sat at the bar for some dinner. There were only a few people there, yet it took forever to get anything. The bartender was friendly, but was not happy she had to be. The food is blah. I had the potato stuffed with ham, bacon and cheese. It was a large portion, but the flavor was bland. My friend eating with me had a similar experience.",1
"Horrible food and service! It took over an hour to get our food and it was not even busy. On top of that, our waitress seemed bothered by having to serve us. I ordered the Asada and chicken enchiladas, which were far too salty. My dad ordered the birria, which he also thought was too salty and greasy. I would not recommend this place.",1
"The pizza here is terrible and the staff was unbelievably, weirdly aloof and rude. I'm not sure they even realize that they work in a restaurant, that we are your guests and are paying to have a good experience and have fun. No wonder the place was empty. Go back to New York and take your coal with you.",1
" 17 pp just to get inside. NO phones or cameras allowed inside! Drinks are VERY small one shot and are 10 a piece. If you're here it's definitely for the ""experience "" of saying you were here. They have a photog who will take pics inside.then try to upsell you as you leave for 20 a piece. I won't be back.",1
This place sucks now. The best part was that their happy hour was so good. Guess what! Now they make you order food. Any bar in Vegas that stipulates your drinking with rules should be shut down. Don't go here and never support them. They need to get their full happy hour back or shut down. Go to echo and rig we just had dinner there which is why we are not hungry and they were so good.,1
 ATTENTION Very horrible customer service. They do not have mirrors anywhere but the nasty bathroom. And when you cancel in the beginning of the month. They don't credit you for the month you paid for even if you haven't and won't be using it. Horrible place. I recommend nobody tan at this dirty place.,1
"We went there for lunch for the AYCE. The rice on the nigiri's is way too much, but then again, I didn't see any Japanese cooks making them, so I can't blame them if they don't know what they are doing. No matter how nice the servers are, the food needs to be good for me to return. Not my favorite place.",1
Heard good things about this place so when we got to Vegas we stopped here. Well don't waste your money! It's about 40 a person! Very overpriced! There isn't a real big selection of food. I've had better. Basically your paying for the unlimited beer n wine. Quality of food n meat are low grade too . Meat was tough! If your Gona spend this amount of money go to bellagios buffet.,1
"We were staying at the hotel and decided to eat at the restaurant in house. Menu was over priced, dinning room was loud and our food just OK. We ordered Salmon very small dish , corn didnt care for it much , lamb meat balls were just OK, and seafood chowder was not as good as I expected. All in all, just an OK place to eat.",1
"By far the worst club I've been to, that fact that we had a table reserved but we've been waiting in line for over and hour is beyond frustrating, the last club I would recommend, while the bouncers are taking top dollar to allow people or pretty women in on the side, people that have been waiting to get in are left waiting, other then the dj, I wasn't too entertained.",1
"When you call for reservation they try to upsell with resort club.now when you there using it the person who works at the 24th floor where you get the snacks and drinks , the person who works there is giving the customers a hard time to get in the place.been going there for the past couple of years seems like the services is getting less and less the past couple of years",1
"Don't do it! We were ignored after we sat at a table so my husband went to the bar to get me a ice tea. The bartender refused to help him. When he told him we were sitting in the corner he said ""you're in the black hole I can't help you "". Go to the food court. The menu was very limited at this restaurant anyway. Don't waste your time.",1
"The new set up is terrible. The old stand under the trees was great. The new stand in the middle of the compost is terrible. It smelled liked I was shopping for food at the dump. The ambiance carried this place in the past and somewhat justified the high prices, but I will definitely not go out of my way to experience the dirt and dust pile that you have created now.",1
I was so excited to get custard while in the Vegas area because I have had it at a few places in the midwest. I thought all places made it relatively the same. WRONG. I ordered a chocolate concrete here and it was not chocolate ey and had a bitter after taste. Everyone saying that it's so good obviously hasn't had custard anywhere else.,1
"I was really looking forward to a huge tasty sandwich but was greatly disappointed! Everything was bland, nothing had seasoning, not even basic salt. Soggy fries, tasteless meat, average coleslaw on white bread trying to double for Italian bread. Save your time, money and calories and go to Wendy's instead.",1
"don't ever pay the typical 50 a nite they want. this place is worth 10 nite tops. it's a trucker casino hotel. run down, nasty rooms. scary folk stay here. i've stayed here at least twice cos of my weirdo bud. i'm dirtbag chic, but this is silly. too expensive . plenty of lot lizards trying to blow ya fer a 10 spot. alright casino. very nice cool staff.",1
"Dinner for four. Had reservations and did not get table asked for. Tortilla so u00fbp.not so great. The Cobb salad with beef tenderloin.salad good, but tenderloin was stringy trim pieces, it appeared. Pretty disappointed. Noisy as usual. Not much that can be done about that. Love the way the restaurant is decorated. Not sure we'll be back. Disappointing.",1
"OVERPRICED! Awful service and the food was so so at best, in fact my daughter got sick on the ride back to the hotel from the Sheppard's pie. I ordered the BLT because I heard it was the only thing on the menu that was good. to be fair it was, but not good enough to justify the price. Gordon Ramsay should yell at himself for how bad this place is.",1
I am not against national chains and I like the convenience of a CVS always being nearby where I am. The Middleton store however is not up to par with the other CVS stores I have experienced. Seemingly lazy staff with poor attitudes are the norm rather than the exception. If you can you another location I would. CVS in other locations has been great.,1
"I stayed in the older part of the hotel and it was. pretty OLD. The air conditioning wasn't working well but we hardly stayed in the room so it wasn't too bad for the price. nThe location is really good, the rooms were clean and the pool is nice. nIf you don't want anything really fancy this one is fine.",1
"Hired to repair a rock chip in windshield. Always free via insurance. Rep tried to charge 50 deductible. Interesting thing is the invoice and purchase order was already drawn up at 65 to bill insurance only. One of two conclusions 1. Disorganized billing and tracking system that overcharges customers. 2. Attempt to scam customers. Either way, not acceptable. Would not recommend.",1
"This is an extremely smoky bar with terrible music. The atmosphere is not there, the music is so low that no one really talks. The food is just ok and the service is very mediocre. The crowd is in their 50's so their is not much action as most people are gambling. This bar needs a major facelift! I would probably not recommend it to anyone as there are better places to experience",1
Went back to this place to give it another shot. Service still sucks. You have to know the owners or workers in order to get decent service. The place wasn't busy and the table behind us was getting constant attention while our table was neglected. The server didnt even check on us. And I'm Korean. The food is good enough to go back but shitty service really turns me off.,1
