text,label
"Bagels are average at best, very stingy here. No ketchup packets anywhere just one nasty bottle that everyone has to touch. The worst part about it is the people working here seem to have the biggest attitude, won't be going back here. Dude who runs the register needs to find a different job that doesn't involve ANY customer interaction.",1
The atmosphere is nice and intimate. Our server was very nice Claire and was quick to ask us if we needed anything. We ordered the tuna tartare for an appetizer and it was good for two and yummy! I ordered the Manhattan steak with twiced baked potato which was amazing! Loved the food and drinks try the Kentucky Buck and had a nice dinner! Can't wait to come back soon!,2
"Stayed 3 nights at the Grand and it was an absolutely terrible experience, found hair in my bed that obviously was not mine, even after I called and talked to the director of housekeeping the problem was not resolved! So gross! Never will I stay here again! The manager of the hotel didn't even take time to contact me and fix this issue terrible terrible costumer service.",1
"Looking at past reviews, it appears there has been a change for the better. We went for a Prix fixe menu and were delighted at the quality. Just like home cooking at my Nona. nService was very friendly but relaxed pace. That's ok, what's your rush? nThere was also entertainment with a lively guitar player. nGoing back for sure.",2
"Apparently there are 7 Beauty Bars? This is their Vegas bar, located just off the old strip. Just dark and sketchy enough to fit comfortably in this neighborhood. I thought my eyes were deceiving me upon walking up. Like a taste of home here in V town. It was Duran Duraight so we decided to stay for a bit. nDrinks ensued. NOTE They dont do nails at this bar. My wife would have been disappointed,",2
"I had a uninspiring, and overpriced BLT sandwich. The counter girl seemed annoyed that I had to ask her twice for water, honestly she made me feel unwelcome. At least she apologized for it taking 25 minutes to make the sammy. I would like to give them one star, but they are trying to do something positive downtown.",1
"This was my second time eating at this restaurant. It is a solid place for Korean BBQ. Nice decor, decent service, and good food. If you're looking for the best ""deal "" on Korean BBQ.I would say Tofu Hut. nIf your looking for the best meat selection.I would say Honey Pig! Their honeycomb pork belly is ridiculously good! But for a solid experience.Mothers is a nice spot to eat!",2
Bad pricey food. Had wings and fries and a tea. Ended up spending 25. The wings were gross and the fries were really below average. I would have given 2 stars if I had paid 15 but even then the food would just not be close to what I'd expect from a restaurant serving wings and fries. The service is good but that doesn't make up for the bad quality of the food.,1
"Had a good time here when I went in February. The dancers that do the acrobatic tricks are awesome. Like everything in Vegas, it's a bit pricey. The drinks were pretty watered down and insanely priced as well. However, if you want to experience LV, this is a place you want to go. Get there early though, because there will be a long line to get in.",2
"I was here on November 2011. This is a magnificent old train station converted into restaurant. A true historical jewel in Pittsburgh. I had a fillet Mignon that was really tender and juicy and very flavorful. I sat outside by the river bank and enjoyed a great of view downtown, the river and its many steel bridges. A very memorable experience.",2
"I made a special trip out there to get a Dole whip. Checked their website to make sure they were open.when we arrived 4.5 hours before stated closing time they were closed! There was a sign stating they decided to close a ""bit early "". Seems like really early to me! We were all really bummed. It will definitely make us consider other options next time!",1
"Food was ok. Their menu prices online are not their current prices. Also, watch out for delivery fee they charge without telling you, we paid 7 on top of our bill, thats more than what 1 entree cost! Hot and sour soup was watery and tasted like it came out of a can. The crab puffs were good, but didn't have any crab in them.",1
